name,lat,lon,value,address,work schedule,contacts
Наукова бібліотека імені Стефаника,49.8361564484135,24.026034426752506,30,"Бібліотека ім. Стефаника, вулиця Стефаника, 2, Львів, Львівська область, 79000",10:00-18:00,322614121
Львівська обласна бібліотека для юнацтва ім. Романа Іваничука,49.84181532770133,24.032925374979634,30,"площа Ринок, 9, Львів, Львівська область, 79008",09:00-18:00,689414277
Львівська обласна універсальна наукова бібліотека,49.83714275330392,24.03195879440852,30,"проспект Шевченка, 13, Львів, Львівська область, 79000",10:00-18:00,322355609
Lviv regional children's library,49.83908411762973,24.03516546217428,30,"вулиця Володимира Винниченка, 1, Львів, Львівська область, 79000",09:00-18:00,322358746
Наукова бібліотека Львівського національного університету імені Івана Франка,49.83407341338051,24.030616685339254,30,"вулиця Драгоманова, Львів, Львівська область, 79000",10:00-20:00,немає
Наукова бібліотека Львівської національної академії мистецтв,49.82476400773935,24.038555903342406,30,"вулиця Кубійовича, 38, Львів, Львівська область, 79000",09:00-18:00,322761412
Бібліотека Українського товариства сліпих,49.84064516810362,24.02538980162551,30,"вулиця Січових Стрільців, 5, Львів, Львівська область, 79000",09:00-18:00,322553107
Наукова бібліотека Львівського національного медичного університету ім. Данила Галицького,49.84085478837536,24.024689828277417,30,"вулиця Січових Стрільців, 6, Львів, Львівська область, 79000",09:00-20:00,322601504
URBAN бібліотека,49.8358709243667,24.01682406577753,30,"вулиця Устияновича, 4, Львів, Львівська область, 79000",10:00-20:00,970908109
Львівська обласна науково-педагогічних бібліотека,49.832435956757045,24.040271746796673,30,"вулиця Зелена, 24, Львів, Львівська область, 79000",09:00-18:00,322754121
Бібліотека-філія №6,49.83666729320552,24.00280135489738,30,"вулиця Городоцька, 139, Львів, Львовская, 79000",09:00-18:00,322382228
Центральна міська дитяча бібліотека,49.85922628402572,24.017898987322848,30,"вулиця Окуневського, 3, Львів, Львівська область, 79000",10:00-18:00,322523108
Централізована бібліотечна система для дітей,49.858921588290286,24.01802330581768,30,"вулиця Окуневського, 3, Львів, Львівська область, 79000",09:30-18:00,322523108
"Науково-технічна бібліотека Національного університету ""Львівська політехніка""",49.83546293888152,24.0166058972874,30,"вулиця Професорська, 1, Львів, Львівська область, 79013",10:00-18:00,322582128
Бібліотека-філія №10 ЦБС для дітей,49.828912757922524,23.999168740607512,30,"вулиця Максима Залізняка, 5, Львів, Львівська область, 79000",10:00-18:00,322384489
Бібліотека Сад,49.862057221424564,23.96589206358168,30,"270A, вулиця Шевченка, 270А, Львів, Львівська область, 79000",11:00-20:00,немає
Бібліотека-філія №19 ЦБС для дітей,49.80814809755749,23.986463909310167,30,"вулиця Василя Симоненка, 10, Львів, Львівська область, 79000",10:00-19:00,322631572
Бібліотека-філія №23 ЦБС для дорослих,49.816031902230556,24.040624458722572,30,"вулиця Тернопільська, 9, Львів, Львівська область, 79000",10:00-18:00,322702374
Бібліотека-філія №13 ЦБС для дітей,49.83707175730874,24.033250546793578,30,"вулиця Князя Романа, 32, Львів, Львівська область, 79000",09:00-18:00,322354594
Центральна міська бібліотека ім. Лесі Українки,49.846794416704675,24.027726175081682,30,"Мулярська вул., 2А, Львів, Львовская, 79000",11:00-19:00,322720581
Бібліотека №3,49.869218676810064,24.029157660014068,30,"3, вулиця Миколи Хвильового, 3, Львів, Львівська область, 79000",10:00-18:00,322529373
Бібліотека Львівської Богословської семінарії,49.78953259755008,24.052591044188258,30,"вулиця Скрипника, 8, Львів, Львівська область, 79000",10:00-18:00,322216225
Бібліотека інституту народознавства НАН України,49.8410728354625,24.027010707367545,30,"проспект Свободи, 15, Львів, Львівська область, 79000",10:00-17:00,322970157
Львівська обласна наукова медична бібліотека,49.84173670286571,24.03465708684586,30,"вулиця Руська, 20, Львів, Львівська область, 79000",10:00-18:00,322356139
Бібліотека-філія №33 ЦБС,49.800298503019874,24.05139308111809,30,"вулиця Хуторівка, 24, Львів, Львівська область, 79000",11:00-20:00,322222293
Бібліотека-філія №34,49.817866536264305,24.14103731589984,30,"вулиця Хуторівка, 24, Львів, Львівська область, 79000",11:00-20:00,2960647
Бібліотека №21 ЦБС для дітей,49.84438219280914,24.020606276049598,30,"вулиця Шолом-Алейхема, 14, Львів, Львівська область, 79000",09:00-18:00,322721700
Бібліотека Львівського відділення інституту економіки НАНУ,49.816589930125154,24.02371753561063,30,"вулиця Козельницька, 4, Львів, Львівська область, 79000",09:00-18:00,322707068
Бібліотека сімейного читання,49.78927920563319,24.016360263891148,30,"вулиця Стрийська, 77, Львів, Львівська область, 79000",09:00-18:00,немає
Бібліотека-філія №24 ЦБС для дітей,49.83029442088244,24.045030564671872,30,"вулиця Дніпровська, 11, Львів, Львівська область, 79000",10:00-18:00,322752629
Бібліотека-філія №38 ЦБС для дорослих,49.83941045136161,24.066980772400097,30,"вулиця Ніщинського, 27, Львів, Львівська область, 79000",10:00-19:00,322240099
"ЛЬВІВСЬКА НАУКОВА БІБЛІОТЕКА ІМ. В. СТЕФАНИКА, ВІДДІЛ РІДКІСНОЇ КНИГИ",49.84203615796389,24.0436345064766,30,"вулиця Лисенка, 14, Львів, Львовская, 79000",09:00-18:00,322767753
Дитяча бібліотека-філія №4,49.79216888531964,24.064573078251286,30,"вулиця Бориса Антоненка-Давидовича, 10, Львів, Львівська область, 79000",10:00-18:00,322223479
Відділ навчальної літератури наукової бібліотеки медичного університету,49.83517776443534,24.051357300658957,30,"вулиця Шімзерів, 3А, Львів, Львівська область, 79000",10:00-22:00,322754997
Кабінет нової німецькомовної сучасної літератури,49.84191961634685,24.044040283202012,30,"вулиця Лисенка, 14, Львів, Львівська область, 79000",10:00-17:00,322975683
БІБЛІОТЕКА ЛЬВІВСЬКОГО ДЕРЖАВНОГО МЕДИЧНОГО КОЛЕДЖУ ІМ.А.КРУПИНСЬКОГО,49.8359014952828,24.01910146212369,30,"вулиця Петра Дорошенка, 70, Львів, Львівська область, 79000",10:00-18:00,322744147
Бібліотека-філія №26 ЦБС для дітей,49.830104145267235,23.979895066003994,30,"вулиця Окружна, 29, Львів, Львівська область, 79000",09:00-18:00,322926374
Бібліотека-філія №42 ЦБС для дітей,49.823611133430035,23.95899913706445,30,"вулиця Патона, 4/2, Львів, Львівська область, 79000",10:00-18:00,322622016
Бібліотека будинку офіцерів ЗОК,49.843064164561376,24.028838635369926,30,"вулиця Театральна, 22, Львів, Львівська область, 79000",09:00-18:00,322358501
Дитяча бібліотека-філія №27,49.855499530620406,24.04485587935618,30,"вулиця Богдана Хмельницького, 175, Львів, Львівська область, 79000",10:00-18:00,322930310
Бібліотека-філія №7 ЦБС для дорослих,49.85041838016796,24.006387564311982,30,"вулиця Золота, 40, Львів, Львівська область, 79000",10:00-18:00,322333446
Бібліотека-філія №15 ЦБС для дорослих,49.845445862626995,23.967167169665426,30,"вулиця Повітряна, 88, Львів, Львівська область, 79000",10:00-17:00,322670682
